,Z09087,Z09106,Z09192,Z09204,Z09144,Z08214,A11200,Z09196
80,30.0,,,,,,,
81,494.0,,,,27.0,,,
82,1480035.0,,,,2265122.0,,,
83,,,,,,,,
84,71452.0,,,,3189573.0,,,
85,,,,,,,,
86,,,,,,,,
87,31978.0,160.0,,30.0,1834873.0,,,30.0
88,,,,58.0,,,,80.0
89,107505.0,,909.0,1455.0,3325736.0,225.0,,295096.0
90,71657.0,150604.0,64592.0,,2143865.0,8126623.0,,
91,27531.0,31093.0,308338.0,1156.0,2009707.0,11889296.0,30.0,1238924.0
92,69475.0,3801.0,38225.0,495.0,1428364.0,4980666.0,24748.0,57415.0
93,21210.0,2288.0,20104.0,65.0,1386949.0,2582242.0,385471.0,7402.0
94,41910.0,9466.0,25207.0,,1058507.0,4224602.0,1066664.0,
95,31444.0,5157.0,21967.0,606.0,1515525.0,2270709.0,,6592.0
96,,,,,,,1096.0,
97,18567.0,4368.0,5376.0,530.0,688485.0,1243847.0,1299.0,16244.0
98,,,,462.0,,,827.0,
99,46140.0,2297.0,10133.0,,1107020.0,,,
100,,,,,,,4313.0,19143.0
101,28855.0,2194.0,2607.0,438.0,,,3741.0,
102,,,,,1585047.0,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
